epoch,return-average
0,27.6682238559
1,37.5295944426
2,14.0799112039
3,39.4477170819
4,124.1192364336
5,27.0998655543
6,136.8840098793
7,48.9965213424
8,61.476835026
9,30.9111043033
10,40.6021470374
11,99.4638098615
12,-0.754370258
13,131.1068951016
14,303.7260422694
15,178.2217378071
16,90.3306583496
17,214.0513749924
18,47.6833598581
19,172.9678664292
20,70.8608937069
21,107.0294427401
22,116.6051244974
23,116.0101372122
24,30.3931421123
25,312.4079438055
26,493.6018891337
27,73.1144343678
28,20.9085567746
29,251.9286726454
30,401.6291292149
31,140.9590720217
32,360.4138810642
33,284.6681255763
34,229.9214915988
35,623.0970812626
36,112.5849815983
37,260.5253731765
38,265.6801742284
39,49.816898462
40,84.8677549954
41,332.4545072072
42,372.5243359
43,93.4481814285
44,317.2757543511
45,424.4592256171
46,529.7949200721
47,454.0951713625
48,206.4083251648
49,692.476003908
50,61.7459004249
51,317.8561125292
52,292.2959355489
53,304.7686905706
54,354.8221195921
55,119.6689449355
56,430.42554081
57,294.9890847481
58,334.6381150706
59,57.5528277011
60,450.7780858574
61,208.5047824783
62,124.2228104243
63,459.0448976009
64,236.8497858696
65,181.5322876117
66,536.9120482396
67,293.5396893594
68,103.104930241
69,281.8718596857
70,286.213377807
71,178.857673752
72,639.9071837767
73,427.5962419529
74,310.392555551
75,83.5033974671
76,137.2822859402
77,486.9923234041
78,508.2992425932
79,659.09016909
80,280.2227118867
81,665.9550104345
82,256.6784478029
83,377.3333904914
84,619.073192833
85,480.5813382608
86,217.7375451139
87,398.5353399891
88,163.5144872897
89,817.8572320616
90,749.860227949
91,126.6393361969
92,206.8869068936
93,114.5409355032
94,362.7287148319
95,504.3127396372
96,760.5820729514
97,113.4524083031
98,765.7631496654
99,446.084573584
100,334.5485464725
101,448.7684384386
102,722.2305077859
103,823.7732121483
104,655.4616119167
105,227.3352475414
106,580.7733921578
107,116.22130429
108,412.3177214353
109,400.5427379102
110,528.4072428884
111,399.8729479635
112,95.4208831984
113,796.282731276
114,655.1026206664
115,337.9823231266
116,412.6409125052
117,348.8829400462
118,22.8815154765
119,408.1753784163
120,708.7337453417
121,402.0351845412
122,247.1789293007
123,68.2551775207
124,758.8262822593
125,898.32521735
126,813.540458197
127,15.050662007
128,471.5568912356
129,411.455866395
130,443.3402715032
131,273.4666849316
132,603.7829375872
133,548.1746678077
134,72.1002823612
135,570.4785905762
136,592.451007717
137,120.0532163772
138,420.0303169354
139,553.0827802538
140,122.1499871064
141,174.3725951948
142,495.0800153994
143,605.7033379129
144,264.8328546649
145,45.3612419388
146,445.1578799478
147,727.2910320297
148,420.3908390306
149,546.2246448899
150,430.9776192336
151,198.6456288491
152,491.3600625862
153,174.3432266284
154,289.1485372218
155,75.2801144314
156,346.0248876333
157,94.9712343963
158,327.7994662048
159,328.1148028315
160,579.4127878733
161,403.7147455797
162,368.0873519333
163,329.9582080858
164,583.5874850977
165,861.06800741
166,683.2641205444
167,788.97886818
168,113.8771682779
169,433.6799316538
170,591.9339529537
171,259.9813187553
172,617.4961089242
173,404.239870484
174,348.3166304915
175,815.0762374907
176,906.419460752
177,273.5940094024
178,725.3920251748
179,588.3468954148
180,721.6755685125
181,788.4438837504
182,963.8898422585
183,379.4389101422
184,402.5724731908
185,489.8155741358
186,538.607231169
187,826.2921933232
188,536.4087112217
189,865.1017440536
190,783.4007224031
191,388.6688263118
192,186.8190121619
193,41.2874335623
194,382.8831013078
195,128.3901670787
196,590.3920989529
197,22.8364094533
198,445.5634044048
199,425.8019367943
200,872.6033128074
201,862.3548766119
202,129.9875055086
203,309.4252310244
204,763.5376461952
205,664.6155299089
206,744.5372097802
207,989.5493566744
208,653.5503782722
209,213.3596321781
210,751.7960034738
211,368.077778977
212,479.9966863566
213,325.4663322342
214,615.5592984645
215,585.4005774404
216,324.2591659365
217,498.6257926094
218,25.750601942
219,775.8336994646
220,597.1307497722
221,1191.9013937931
222,600.2324057517
223,198.5371526486
224,927.6079909916
225,545.5375501421
226,326.6317584901
227,258.9730120938
228,638.5987154616
229,88.0913812716
230,585.7224649138
231,260.7003384594
232,282.6865349787
233,492.2332529564
234,380.921439825
235,741.939072723
236,1111.7049827585
237,245.3800961066
238,971.9279713002
239,713.7336455838
240,186.528159991
241,506.6501604844
242,311.1479367978
243,785.6772632164
244,90.5830708719
245,19.3028352301
246,916.5409802861
247,426.8600621765
248,801.8718266058
249,424.1228755062
250,278.0750625251
251,777.4855673577
252,1102.6612309413
253,453.4407923744
254,428.118867724
255,801.4715023627
256,553.2209019732
257,694.9392405233
258,761.9179019487
259,881.3339880513
260,1530.6500927078
261,966.8498963909
262,663.0319188671
263,254.2735692929
264,1005.927797615
265,1005.7053039932
266,174.8653050428
267,626.5122739056
268,200.3510371709
269,350.109641611
270,349.4978908028
271,948.7468000636
272,452.9797914548
273,768.0364009952
274,337.622676153
275,692.8434574235
276,245.9670821489
277,791.600626171
278,948.5574827722
279,1042.5368876491
280,1014.9383151912
281,468.0693270889
282,968.8561201485
283,223.3588516081
284,111.4637359029
285,506.8233210162
286,709.5263891286
287,587.6901483782
288,1392.1349186724
289,287.9559333132
290,1017.5958473933
291,301.1592074825
292,620.9470015733
293,302.1839900121
294,947.4866728069
295,441.5278393425
296,977.1966037507
297,1162.0874761328
298,71.067755463
299,593.0571261014
300,655.280608016
301,664.6969761428
302,1127.957282278
303,942.771997541
304,799.8698694224
305,89.6417252585
306,1331.0359578713
307,560.9810113751
308,618.8677163154
309,736.2623286656
310,798.9188721186
311,150.0190555684
312,520.7494292803
313,1403.5041157501
314,67.6689576
315,819.6403493521
316,1122.7861596256
317,923.9041838516
318,1203.070932022
319,1171.4489677402
320,339.7127588331
321,1284.3049895714
322,106.7673430748
323,346.466634541
324,583.6474470918
325,661.5264361439
326,181.539392596
327,1484.109651099
328,990.9624465337
329,815.8026374756
330,1754.9808598496
331,1388.317392569
332,438.2487745367
333,611.2523489968
334,977.8052895762
335,404.3542893537
336,700.5311026499
337,947.7602388422
338,1420.9079042507
339,1404.1714521991
340,1167.6734582728
341,779.3583378907
342,559.9693865795
343,462.351361801
344,323.2219893489
345,595.5759428861
346,920.3102787797
347,182.2122495232
348,628.8672131022
349,999.8991849918
350,1339.7462090889
351,919.2416516196
352,789.4153348369
353,1124.395327429
354,928.9370273289
355,708.7724188246
356,380.6584714538
357,108.3987668344
358,861.4392783595
359,1115.3199372093
360,999.4117970602
361,982.7828180077
362,796.1678836204
363,893.9625965813
364,777.9982692807
365,703.8133823583
366,615.6873450758
367,173.7664821271
368,1017.6276010491
369,218.7562759359
370,876.216894786
371,638.8863132119
372,151.4206449602
373,1182.7041546245
374,431.4778781445
375,740.5952500176
376,1171.1949674942
377,1427.3621479994
378,1245.7906115082
379,693.0633416643
380,1487.8122211305
381,651.7792506273
382,551.4300252684
383,913.4235333525
384,1257.4806470037
385,1259.9711979058
386,87.5793223275
387,724.8341115262
388,1302.8619291275
389,1642.3777631512
390,1162.4967858753
391,71.9399578758
392,770.5728409702
393,127.326843765
394,614.1422167749
395,1326.1352301873
396,313.1779751851
397,576.2838227556
398,682.3478367369
399,1143.8132662824
400,246.6820595301
401,805.6086469408
402,745.1055363941
403,1394.9582107774
404,164.5011128651
405,10.9773834821
406,1451.0303390257
407,863.3056488607
408,170.4072257263
409,1583.6625821913
410,1129.4451883442
411,1869.8065837888
412,1387.1550262535
413,1841.9706515793
414,908.4857615797
415,127.2453060744
416,1084.8726835732
417,577.9396221666
418,2024.61836616
419,882.3067572569
420,1490.8187617991
421,1521.6049917015
422,181.4478288876
423,591.4775197538
424,1824.822389317
425,1727.1728390529
426,616.0627588284
427,1456.3185953814
428,946.0557256257
429,902.2762000383
430,151.1760255086
431,870.4103307475
432,465.5628611365
433,62.668013632
434,1229.8307538854
435,392.0435199277
436,630.0288428218
437,1681.9954332964
438,1718.2951924112
439,1022.656274652
440,728.8305636654
441,1351.4063089239
442,797.5439193416
443,643.0614926055
444,1444.6883541778
445,596.0890974898
446,1057.7425872096
447,393.5397198321
448,799.4091639271
449,723.3934044564
450,127.5290430044
451,2113.1288126256
452,50.1962863898
453,1593.4426581849
454,483.2291665084
455,841.2330992661
456,1957.5568558721
457,442.1029579514
458,1082.6047225965
459,336.4607142081
460,869.2255588927
461,1731.5272772428
462,1835.615175142
463,569.5562391605
464,1484.554177382
465,1749.3011792041
466,1979.1063222997
467,808.2601317951
468,891.3122939723
469,592.2759959208
470,1464.4519686661
471,566.7398762067
472,566.0184864285
473,1713.8088781667
474,793.133227644
475,1197.0910362577
476,1228.1637675155
477,1210.0828009646
478,774.5419496007
479,1308.2264750026
480,1452.9888796036
481,1369.951460781
482,1112.6507425561
483,1497.0223591294
484,1513.1128793919
485,1732.865235491
486,532.857776162
487,610.2833661225
488,1371.4903632445
489,2164.6628552101
490,1127.0205802581
491,1851.6114624186
492,1346.4426805503
493,513.9560037002
494,1740.2884633286
495,1758.8927314887
496,2013.3561547251
497,1637.0093411545
498,1268.4044126635
499,1068.6991502328
500,1713.3652571781
501,1796.8626393098
502,782.9300913989
503,1405.801340658
504,1782.1381049139
505,965.8846459024
506,1538.2421357311
507,233.783016741
508,177.5538089316
509,255.5392540568
510,626.782924284
511,1692.6051843551
512,1605.8488593998
513,35.388344562
514,2011.9790026713
515,222.735316369
516,652.2568327116
517,1743.3714064855
518,1295.4221073906
519,1740.0188984262
520,1579.6708766817
521,2171.9706626576
522,714.1053280694
523,1694.5139751132
524,1787.3100399138
525,1018.7525464943
526,1515.3933405686
527,1270.2368908922
528,1300.2286870351
529,907.7653910311
530,2373.3736894714
531,1900.218790889
532,434.0794264795
533,1185.8840076695
534,1394.9594665699
535,1889.649415749
536,1639.0529434959
537,711.822699583
538,1240.475399465
539,1356.4413074767
540,1775.1017032511
541,369.9191866998
542,32.0817286388
543,718.3320220373
544,1937.3543713148
545,1356.8936943976
546,1570.9655732532
547,60.5190334828
548,241.3003132735
549,1444.2972131682
550,1551.8563412813
551,1203.0201874319
552,1888.8782281777
553,1585.7581190427
554,1270.9055136338
555,347.335765169
556,368.8207363216
557,1223.8595302347
558,1310.6702537964
559,354.4757961763
560,404.4078731722
561,2264.985602633
562,1009.1359342371
563,1532.6776432267
564,609.1014913941
565,1375.9041518803
566,2069.2517034619
567,1637.5143881373
568,2407.5582184232
569,2279.3207364255
570,58.5303796161
571,1807.5185531187
572,2017.8504068162
573,1362.8977708328
574,1895.5360119539
575,799.0013014038
576,1473.117417342
577,1121.4649027543
578,1468.046655188
579,1496.8595514944
580,1270.0552099517
581,1658.1322122828
582,460.0039120598
583,1498.886680984
584,301.8072294727
585,1180.2162585879
586,1336.3369237604
587,670.1788374684
588,1906.1866187863
589,209.0750286281
590,1218.6990713335
591,1695.579185549
592,837.7807686241
593,362.6180702112
594,2111.9306590822
595,386.5940321323
596,1972.4802199358
597,1826.1518465378
598,623.1249004395
599,1183.9647699754
600,2315.3421517056
601,2336.0100306512
602,2043.8719054167
603,1278.9319942097
604,1497.3700754334
605,1604.9723734104
606,2450.1541074621
607,1618.773093226
608,1041.2280624348
609,2009.5447516298
610,2158.2885213409
611,1774.2065546826
612,1876.6798016507
613,639.7464223443
614,2304.8073224172
615,178.2917641256
616,2393.6937988712
617,1532.9881308553
618,2516.1990877264
619,1343.682906318
620,1227.2202689477
621,1523.1746070596
622,1842.9416086427
623,1806.3433856383
624,1949.7996439656
625,584.3237457156
626,1206.2458380078
627,246.0219202521
628,2192.7598412757
629,1170.6621500271
630,656.1284720383
631,2319.0112115111
632,2753.3309855877
633,2663.2313453178
634,679.275129043
635,223.0191250318
636,521.8942892141
637,984.3023266626
638,310.9304069021
639,888.7138316678
640,476.4955945931
641,2067.7200961673
642,1903.0399813223
643,544.3629192516
644,2072.3205397963
645,349.8542879075
646,2088.5279099747
647,680.5506044948
648,1739.374894024
649,721.6254215636
650,1614.6965678055
651,787.2920313563
652,2612.7847637208
653,2208.5537197949
654,2449.8905170491
655,1222.8084445235
656,28.7206051429
657,1937.053526997
658,200.5212442694
659,2085.8759267044
660,2089.3996452879
661,2046.3112740081
662,1130.8686822009
663,2383.9980386579
664,1118.5419649639
665,2855.470449933
666,2333.9748862922
667,2638.9019229186
668,691.0121552656
669,1079.6236743493
670,2158.4065516327
671,1240.4413700164
672,717.0035742938
673,1244.7545959968
674,2507.8222326754
675,3048.0519573032
676,896.8132502825
677,1557.978632419
678,185.1095174817
679,2426.055562573
680,20.3401674883
681,2396.4387275743
682,1476.9017992477
683,1881.546608837
684,1197.6450034254
685,2975.8920455738
686,1310.5746328013
687,165.7312417953
688,924.8564332608
689,208.2559307007
690,2781.3299304916
691,969.0701951987
692,1072.1650678928
693,2474.0348612404
694,1950.5584412849
695,2260.026785314
696,1097.817976579
697,969.9920152983
698,1050.9910281099
699,1775.0508880951
700,186.7729003056
701,925.1119322578
702,1827.6198099484
703,1344.728443135
704,1103.7388939066
705,1381.0648537604
706,2291.961599511
707,480.5764941631
708,2257.4548058633
709,1237.1116331068
710,358.2612968457
711,1178.700863975
712,2132.4212658639
713,289.069533114
714,727.268926291
715,1986.2321257367
716,99.0517916819
717,2707.3629640685
718,144.8752126334
719,2378.9705107035
720,518.5941375838
721,1226.9159102813
722,1118.635719575
723,236.1246477172
724,1956.2231065548
725,2039.861596002
726,2839.2439437181
727,2016.408730427
728,492.2413162419
729,56.7500337965
730,30.7278796479
731,1129.6153350906
732,445.5389668693
733,1059.7535100952
734,1476.8004126094
735,1962.7888330149
736,1260.0250536219
737,2479.4558654587
