return-average,epoch
36.1797084829,1
40.4089263072,2
23.6971054041,3
30.9783728455,4
27.088820277,5
46.067722748,6
34.291686492,7
-8.077867855,8
41.1296649782,9
24.7580114574,10
69.9089374528,11
82.7210136976,12
232.3245055298,13
125.1114444466,14
119.1431857993,15
135.2996232882,16
207.2944699936,17
154.0662062026,18
89.4714187878,19
100.1110513965,20
111.2049258298,21
124.0897557804,22
407.5999618324,23
570.5749730782,24
322.5177995765,25
621.8588174879,26
409.7044561353,27
26.1421785881,28
78.4930752455,29
171.2512534743,30
169.9267220906,31
306.7366515382,32
114.0609365371,33
94.0019016579,34
65.4568803295,35
109.7632632864,36
84.5183845382,37
36.8576022979,38
242.5279818401,39
181.1986487139,40
181.9224257248,41
50.9056730892,42
327.1432454817,43
186.27577017,44
79.6116190187,45
120.3879601348,46
76.6908226672,47
33.5127565419,48
42.6912725366,49
359.1872769157,50
257.6549647419,51
403.8723784165,52
706.5736975013,53
30.9960733294,54
168.8065368602,55
589.1908040548,56
171.8805909604,57
63.3280631583,58
698.2235913484,59
113.0757744666,60
69.5722683081,61
207.0430796737,62
287.0537468334,63
362.7704847987,64
38.4520248825,65
171.4306362706,66
664.7306457232,67
47.9702036093,68
276.1775493588,69
36.7811983564,70
231.2250804663,71
27.6929091048,72
985.0075257445,73
344.5486650277,74
32.1399611146,75
358.1758177296,76
41.6844491828,77
64.7641047657,78
149.9584117385,79
533.4757646915,80
153.3322851276,81
27.0336584948,82
198.2774846489,83
391.4867019934,84
666.4365098862,85
54.5945853507,86
252.8418854183,87
342.0935652333,88
645.9299201116,89
541.5043151676,90
59.5260435036,91
539.8746654523,92
602.6792162644,93
22.9666736929,94
1260.42208781,95
160.5917060096,96
154.1670910669,97
768.5611592368,98
179.023604978,99
261.0242730345,100
189.5408813205,101
209.3802113441,102
317.187778857,103
46.5509756451,104
201.6795406155,105
204.142811989,106
487.7934615036,107
229.917997881,108
196.3658080865,109
126.6719040469,110
275.169339136,111
33.963393923,112
309.322479568,113
653.5867864918,114
310.8406095017,115
552.3724747625,116
114.9782610639,117
355.1786987597,118
100.8651878674,119
54.3415619916,120
386.842792039,121
23.5721167201,122
173.5302566752,123
306.3310711659,124
782.5174572525,125
687.7115402059,126
253.0048920091,127
571.3231526256,128
245.6614418069,129
153.8738551661,130
68.9359685682,131
1438.1758483511,132
353.0578366437,133
1130.8104456115,134
683.968168448,135
173.4456030388,136
519.3381265852,137
676.7726183155,138
228.483036881,139
921.1084356894,140
37.245511045,141
458.6166909111,142
379.1555539854,143
178.8578703167,144
353.5663934939,145
79.5926292315,146
247.147624941,147
272.1506618115,148
253.8848939466,149
45.5498807858,150
181.8892705201,151
1080.6877484619,152
990.8270002093,153
310.1895820594,154
180.1277606192,155
1122.0975982175,156
310.0150499021,157
262.8195126966,158
912.360689703,159
160.9623457887,160
461.4967482675,161
707.2248400563,162
137.0970658079,163
475.0324020549,164
912.4135369851,165
1322.6797031052,166
735.4539281791,167
887.5351144521,168
81.6227286003,169
127.6438714889,170
289.8521914617,171
372.2131844529,172
456.149750781,173
74.9559610307,174
541.062621695,175
1585.951167495,176
871.6359249891,177
220.1900951105,178
377.7551897885,179
450.9277101884,180
1153.1374151941,181
1822.8124258887,182
214.3798041714,183
1222.0717911925,184
585.5643239376,185
71.4409219736,186
1163.1996162946,187
541.7733908437,188
115.1530203639,189
266.0942117233,190
1247.4732319216,191
85.3909890431,192
179.0242056435,193
196.8631336926,194
190.0791488141,195
1473.6791280046,196
778.7371698754,197
351.6686235543,198
846.5725931368,199
1066.4619898564,200
182.2421313788,201
2060.3806952854,202
740.3017700961,203
267.9757402855,204
159.6121540894,205
337.7256294658,206
1282.1412220685,207
953.3533401823,208
39.8724132478,209
938.1968792453,210
595.0154571503,211
1590.7848706125,212
1408.0394766713,213
1978.9998311057,214
1313.4762006603,215
314.6121320869,216
515.4540889152,217
2062.7660900385,218
47.439073548,219
444.831902546,220
386.5157067238,221
1448.2123062517,222
298.6271890136,223
627.13394973,224
395.0673659547,225
1001.1929115443,226
549.1210616122,227
578.7817419152,228
1097.7032166708,229
1186.9556128382,230
827.3487922976,231
1664.5933620776,232
192.1076520868,233
166.7764274959,234
82.0042918094,235
478.4886793898,236
412.0699735262,237
2121.193410323,238
822.3451622318,239
1538.4957686516,240
1200.1265357716,241
989.8213271318,242
1898.2816062255,243
230.5162730943,244
2275.7751290302,245
1982.3433570096,246
1021.5487440549,247
127.6555651996,248
462.7364153958,249
1019.6860851487,250
793.6750946845,251
1155.6736596534,252
292.0223265281,253
65.5123928126,254
248.490465625,255
1256.5295924695,256
776.6327570047,257
724.6917202871,258
855.7583480125,259
167.9366951801,260
881.4020851222,261
624.6385966359,262
131.541829482,263
837.3260653786,264
2850.5684183057,265
588.4579565356,266
633.699932351,267
2155.4284075208,268
151.0092920168,269
619.2055697888,270
41.2036283301,271
1037.9488483055,272
1471.9326578626,273
586.8676570618,274
653.907254094,275
1780.7807042656,276
333.0273011512,277
599.7062559458,278
661.7750111116,279
1365.3674030019,280
2458.8775202651,281
79.6830791492,282
220.8977490101,283
379.9529807422,284
425.460269104,285
914.2936549758,286
45.0535087644,287
185.4746640049,288
760.2662316769,289
1329.7063626217,290
1966.0520625726,291
1266.8010735094,292
2096.9741524996,293
1280.3691801105,294
212.1651641461,295
215.794235735,296
1216.7984392321,297
1334.7689944579,298
1480.9574600662,299
157.5926493578,300
389.332062928,301
55.2472684132,302
2379.7435917454,303
1772.8507380697,304
148.9246709949,305
630.2075848601,306
2294.5551656763,307
2026.1771666582,308
165.1389251726,309
716.1155888247,310
528.3719526378,311
274.3303936227,312
1637.4056613774,313
184.149435148,314
383.74501373,315
108.2470644038,316
158.6665880094,317
997.6542245756,318
484.0196486784,319
447.9578164966,320
129.0954560562,321
1418.0624691317,322
477.3533700076,323
