return-average,epoch
20.2597770764,0
28.0425341193,1
55.4642740172,2
32.3375149896,3
67.38182825,4
31.6308855182,5
106.1115456703,6
39.9267278435,7
37.5661326549,8
47.9065479698,9
112.624986274,10
29.5924463161,11
180.3598192682,12
235.2027414829,13
229.9072573943,14
164.2778918066,15
314.9617099458,16
62.2772738357,17
90.2372725997,18
69.6817677327,19
509.5660154942,20
71.4659027081,21
139.5071001833,22
29.3732729615,23
195.7219383496,24
110.774820239,25
113.6005210657,26
38.3187498437,27
105.4031700954,28
316.9162383669,29
110.604098766,30
87.4212494456,31
303.6421056007,32
175.5090690415,33
356.4706248015,34
163.9436423394,35
257.4532176539,36
357.7703842846,37
77.6012620564,38
98.8472170221,39
269.2612061179,40
597.3773694219,41
146.3527594534,42
83.2741970753,43
37.1589659224,44
188.5611389437,45
217.4104415391,46
44.9080764925,47
283.1916237671,48
251.9054269775,49
316.8980326051,50
126.2110480662,51
364.1112155619,52
45.6561876605,53
201.7906769064,54
608.7844693564,55
718.759693637,56
130.016604437,57
734.1591665187,58
131.8716953817,59
114.6462635437,60
592.8442723153,61
397.3091253626,62
105.657815226,63
318.6442005855,64
457.0236945928,65
313.1563962319,66
173.6912071492,67
117.6202192478,68
74.574474979,69
198.1093516091,70
272.7990528615,71
194.6965613905,72
193.664865751,73
77.7027237629,74
95.4699622235,75
145.2831536567,76
450.2793417821,77
159.1941945269,78
513.8971485924,79
201.6873429585,80
231.2833539306,81
551.2947473866,82
71.0217215459,83
223.1884014904,84
447.4166102317,85
384.3655736449,86
212.7599296973,87
746.8748734479,88
181.1114341962,89
686.9899964606,90
87.6800314759,91
278.0928144801,92
579.8430559349,93
514.2732814921,94
622.035255795,95
261.0312228459,96
474.8204563205,97
133.2085130126,98
170.0240670552,99
94.9189662969,100
201.0447293779,101
161.8344572734,102
652.7056410359,103
454.8180489165,104
327.0229809319,105
359.01499828,106
558.4238551881,107
217.8178760474,108
544.0835596905,109
381.6286379562,110
350.3944332409,111
92.010308322,112
292.6158762617,113
469.3169925619,114
107.5243691847,115
34.7427702616,116
61.8303905086,117
223.3890329602,118
350.8679744829,119
330.4706292085,120
575.0674392093,121
158.9269972308,122
456.6689423977,123
663.6223897868,124
447.4400503777,125
385.8483834787,126
80.6434533295,127
973.2585398078,128
371.8136886198,129
355.0951644611,130
342.0448066101,131
556.9526330073,132
587.8887708153,133
125.6593820637,134
445.8975098248,135
620.9475476148,136
168.6236376116,137
432.3753837159,138
171.3693303095,139
372.2582717619,140
684.9771630124,141
837.3218395341,142
365.6941213706,143
302.2817623502,144
133.0572141133,145
227.0972121828,146
844.2299181608,147
522.0541751026,148
412.5771831327,149
610.2434151281,150
567.7468241259,151
345.6493715095,152
370.6488983704,153
653.2157056843,154
50.1614132928,155
702.6722020372,156
832.3049984963,157
321.5320210828,158
766.6242690334,159
26.5276891912,160
823.1836851444,161
157.5345306311,162
809.8834351977,163
531.5817747957,164
1113.7487266927,165
422.1326260596,166
430.7894366174,167
48.1862591577,168
251.2850047596,169
339.3688013823,170
146.0305201959,171
388.4940502172,172
124.1386382956,173
208.695990838,174
543.8857631805,175
860.5351998497,176
770.2740403318,177
1152.0030579232,178
1152.8359817143,179
635.3600054972,180
364.027629724,181
729.4051551835,182
780.9615144125,183
653.075216276,184
288.6291980244,185
359.3536983587,186
679.8334302179,187
762.4495469843,188
724.5501168882,189
839.0481516896,190
439.9143991107,191
1043.0859133054,192
629.4360467028,193
483.7438849017,194
660.3823976687,195
363.8694373874,196
93.7064618926,197
1023.6713452847,198
406.1635827488,199
1271.33920041,200
1167.2017470984,201
331.2621575299,202
568.1109704857,203
58.3332390425,204
1200.1900694228,205
1104.7412936269,206
815.9690177295,207
173.6556821465,208
335.9259964829,209
353.6748150545,210
126.2697407551,211
385.846801835,212
338.2496380296,213
870.8236996676,214
150.0520133423,215
290.0689550118,216
330.7566696646,217
274.8497131777,218
107.3622867229,219
944.97979747,220
1293.4179467542,221
186.6807681683,222
331.0687064584,223
739.0291107244,224
783.9125424847,225
481.7157625913,226
890.781728702,227
893.4899988776,228
593.178519964,229
569.800919262,230
972.2248233785,231
453.0812821856,232
174.9350096285,233
340.1079241243,234
1131.3945225026,235
404.6898076033,236
331.0633793065,237
1189.6737397197,238
367.8129641183,239
517.3615097071,240
425.4478880065,241
1210.3831621329,242
348.1961390179,243
945.5422243256,244
83.3672376564,245
155.9652484531,246
675.0132182615,247
703.062188198,248
804.1607654794,249
337.0050515878,250
356.567606566,251
955.5046491394,252
828.6087430014,253
